"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: isPresent","Param: scenario"
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,20.522258,0.463444,"ops/us",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,311.880590,7.109064,"MB/sec",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,24.000020,0.000001,"B/op",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space","thrpt",1,15,314.359080,43.248214,"MB/sec",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space.norm","thrpt",1,15,24.171189,3.050219,"B/op",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen","thrpt",1,15,0.001422,0.002140,"MB/sec",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen.norm","thrpt",1,15,0.000108,0.000161,"B/op",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,48.000000,NaN,"counts",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,18.000000,NaN,"ms",true,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,18.520677,0.229133,"ops/us",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,657.271510,7.589789,"MB/sec",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,56.000022,0.000001,"B/op",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space","thrpt",1,15,655.590533,51.254465,"MB/sec",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space.norm","thrpt",1,15,55.858331,4.348552,"B/op",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen","thrpt",1,15,0.000179,0.000209,"MB/sec",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen.norm","thrpt",1,15,0.000015,0.000018,"B/op",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,100.000000,NaN,"counts",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,28.000000,NaN,"ms",true,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,18.359042,0.276809,"ops/us",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,465.943653,6.919841,"MB/sec",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,40.000022,0.000001,"B/op",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space","thrpt",1,15,465.852524,47.877676,"MB/sec",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space.norm","thrpt",1,15,39.973077,3.861661,"B/op",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen","thrpt",1,15,0.000306,0.000399,"MB/sec",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen.norm","thrpt",1,15,0.000026,0.000034,"B/op",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,71.000000,NaN,"counts",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,22.000000,NaN,"ms",true,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,18.446654,0.272189,"ops/us",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,468.021844,7.113734,"MB/sec",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,40.000022,0.000001,"B/op",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space","thrpt",1,15,465.742518,48.050233,"MB/sec",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space.norm","thrpt",1,15,39.813813,4.165326,"B/op",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen","thrpt",1,15,0.000519,0.000623,"MB/sec",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen.norm","thrpt",1,15,0.000044,0.000053,"B/op",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,71.000000,NaN,"counts",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,23.000000,NaN,"ms",true,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,20.768856,0.496087,"ops/us",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,316.310075,7.786223,"MB/sec",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,24.000020,0.000001,"B/op",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space","thrpt",1,15,315.097244,43.666505,"MB/sec",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space.norm","thrpt",1,15,23.920787,3.376296,"B/op",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen","thrpt",1,15,0.001956,0.002726,"MB/sec",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen.norm","thrpt",1,15,0.000148,0.000205,"B/op",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,48.000000,NaN,"counts",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,17.000000,NaN,"ms",false,ONE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,20.277051,0.411466,"ops/us",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,308.671106,6.827032,"MB/sec",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,24.000021,0.000001,"B/op",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space","thrpt",1,15,314.970624,43.818717,"MB/sec",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space.norm","thrpt",1,15,24.481653,3.266618,"B/op",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen","thrpt",1,15,0.001478,0.001605,"MB/sec",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen.norm","thrpt",1,15,0.000114,0.000123,"B/op",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,48.000000,NaN,"counts",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,18.000000,NaN,"ms",false,TWO
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,18.875519,0.399535,"ops/us",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,287.396379,6.057786,"MB/sec",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,24.000022,0.000001,"B/op",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space","thrpt",1,15,288.763621,27.111175,"MB/sec",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space.norm","thrpt",1,15,24.113384,2.234351,"B/op",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen","thrpt",1,15,0.001550,0.001120,"MB/sec",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen.norm","thrpt",1,15,0.000129,0.000094,"B/op",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,44.000000,NaN,"counts",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,17.000000,NaN,"ms",false,THREE
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue","thrpt",1,15,18.824234,0.657469,"ops/us",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate","thrpt",1,15,286.774289,9.942993,"MB/sec",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.alloc.rate.norm","thrpt",1,15,24.000022,0.000001,"B/op",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space","thrpt",1,15,282.184595,36.931956,"MB/sec",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Eden_Space.norm","thrpt",1,15,23.614205,3.037593,"B/op",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen","thrpt",1,15,0.001913,0.002180,"MB/sec",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.churn.G1_Old_Gen.norm","thrpt",1,15,0.000159,0.000181,"B/op",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.count","thrpt",1,15,43.000000,NaN,"counts",false,FOUR
"com.openkappa.runtime.inlining.escapee.EscapeeBenchmark.mapAndStoreValue:·gc.time","thrpt",1,15,16.000000,NaN,"ms",false,FOUR
