"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: groups","Param: length","Param: size"
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,41.606830,0.187490,"ns/op",8,256,
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,44.518117,0.183473,"ns/op",8,512,
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,50.099552,0.263780,"ns/op",8,1024,
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,61.991607,0.254863,"ns/op",8,2048,
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,134.196339,0.138997,"ns/op",8,4096,
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,542.240261,1.993239,"ns/op",64,256,
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,494.577003,0.331404,"ns/op",64,512,
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,501.147187,0.265733,"ns/op",64,1024,
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,510.997369,1.264461,"ns/op",64,2048,
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,575.261847,0.583042,"ns/op",64,4096,
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,603.379813,1.389718,"ns/op",128,256,
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,1121.185683,26.927230,"ns/op",128,512,
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,1132.562254,36.868698,"ns/op",128,1024,
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,1141.871722,18.612546,"ns/op",128,2048,
"com.openkappa.runtime.fission.GroupCount.fissured","avgt",1,5,1198.111175,49.512727,"ns/op",128,4096,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,197.811972,0.352569,"ns/op",8,256,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,344.481666,0.602220,"ns/op",8,512,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,642.021575,2.235174,"ns/op",8,1024,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,1236.629115,7.446193,"ns/op",8,2048,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,2478.591752,2.470746,"ns/op",8,4096,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,380.130086,1.642884,"ns/op",64,256,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,441.293203,1.776462,"ns/op",64,512,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,793.848668,17.267290,"ns/op",64,1024,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,1265.961589,5.980144,"ns/op",64,2048,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,2340.019651,4.249029,"ns/op",64,4096,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,290.768967,9.365530,"ns/op",128,256,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,752.002294,0.905900,"ns/op",128,512,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,1110.519415,1.109794,"ns/op",128,1024,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,1887.382144,48.908744,"ns/op",128,2048,
"com.openkappa.runtime.fission.GroupCount.fused","avgt",1,5,2550.872751,23.857060,"ns/op",128,4096,
"com.openkappa.runtime.fission.XorCount.fissured","avgt",1,5,146.324870,0.166643,"ns/op",,,256
"com.openkappa.runtime.fission.XorCount.fissured","avgt",1,5,283.583423,0.156367,"ns/op",,,512
"com.openkappa.runtime.fission.XorCount.fissured","avgt",1,5,564.507047,0.512299,"ns/op",,,1024
"com.openkappa.runtime.fission.XorCount.fissured","avgt",1,5,1154.083245,6.005591,"ns/op",,,2048
"com.openkappa.runtime.fission.XorCount.fissured","avgt",1,5,2805.933619,10.880235,"ns/op",,,4096
"com.openkappa.runtime.fission.XorCount.fused","avgt",1,5,229.713707,0.138824,"ns/op",,,256
"com.openkappa.runtime.fission.XorCount.fused","avgt",1,5,462.435821,1.015399,"ns/op",,,512
"com.openkappa.runtime.fission.XorCount.fused","avgt",1,5,908.624781,0.759116,"ns/op",,,1024
"com.openkappa.runtime.fission.XorCount.fused","avgt",1,5,1802.717233,3.106054,"ns/op",,,2048
"com.openkappa.runtime.fission.XorCount.fused","avgt",1,5,3585.279127,6.716832,"ns/op",,,4096
