"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: capacity","Param: keys"
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap","avgt",1,5,191.729672,9.744065,"ns/op",16,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.alloc.rate","avgt",1,5,1481.024740,76.699622,"MB/sec",16,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.alloc.rate.norm","avgt",1,5,448.000079,0.000010,"B/op",16,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Eden_Space","avgt",1,5,1486.052890,190.549363,"MB/sec",16,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Eden_Space.norm","avgt",1,5,449.426109,34.936331,"B/op",16,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Survivor_Space","avgt",1,5,0.004996,0.007638,"MB/sec",16,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Survivor_Space.norm","avgt",1,5,0.001510,0.002284,"B/op",16,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.count","avgt",1,5,168.000000,NaN,"counts",16,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.time","avgt",1,5,19.000000,NaN,"ms",16,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap","avgt",1,5,330.267466,14.739395,"ns/op",16,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.alloc.rate","avgt",1,5,1377.466364,55.228175,"MB/sec",16,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.alloc.rate.norm","avgt",1,5,720.000139,0.000025,"B/op",16,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Eden_Space","avgt",1,5,1378.248085,74.049020,"MB/sec",16,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Eden_Space.norm","avgt",1,5,720.443921,39.788720,"B/op",16,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Survivor_Space","avgt",1,5,0.006723,0.006932,"MB/sec",16,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Survivor_Space.norm","avgt",1,5,0.003510,0.003541,"B/op",16,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.count","avgt",1,5,156.000000,NaN,"counts",16,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.time","avgt",1,5,18.000000,NaN,"ms",16,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap","avgt",1,5,221.798264,97.696476,"ns/op",24,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.alloc.rate","avgt",1,5,1472.474935,569.465870,"MB/sec",24,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.alloc.rate.norm","avgt",1,5,512.000092,0.000038,"B/op",24,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Eden_Space","avgt",1,5,1458.401055,581.500105,"MB/sec",24,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Eden_Space.norm","avgt",1,5,506.972231,15.093407,"B/op",24,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Survivor_Space","avgt",1,5,0.005539,0.007964,"MB/sec",24,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Survivor_Space.norm","avgt",1,5,0.002001,0.003880,"B/op",24,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.count","avgt",1,5,165.000000,NaN,"counts",24,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.time","avgt",1,5,19.000000,NaN,"ms",24,10
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap","avgt",1,5,292.934060,13.489139,"ns/op",24,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.alloc.rate","avgt",1,5,1383.809017,63.286020,"MB/sec",24,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.alloc.rate.norm","avgt",1,5,640.000121,0.000016,"B/op",24,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Eden_Space","avgt",1,5,1390.405722,84.160123,"MB/sec",24,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Eden_Space.norm","avgt",1,5,643.101962,43.099418,"B/op",24,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Survivor_Space","avgt",1,5,0.005006,0.007512,"MB/sec",24,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.churn.Survivor_Space.norm","avgt",1,5,0.002309,0.003377,"B/op",24,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.count","avgt",1,5,157.000000,NaN,"counts",24,14
"com.openkappa.runtime.lookup.HashMapResize.loadHashMap:·gc.time","avgt",1,5,18.000000,NaN,"ms",24,14
